,Date,Price,Open,High,Low,Volume,Chg
475,"Jun 04, 2021",72.860,73.032,73.133,72.819,4.68K,-0.25%
476,"Jun 03, 2021",73.040,73.037,73.185,72.833,4.74K,0.12%
477,"Jun 02, 2021",72.950,72.860,73.325,72.855,5.36K,0.12%
478,"Jun 01, 2021",72.860,72.508,72.963,72.483,5.22K,0.48%
479,"May 31, 2021",72.511,72.395,72.656,72.343,4.12K,0.15%
480,"May 28, 2021",72.400,72.690,72.690,72.315,2.28K,-0.41%
481,"May 27, 2021",72.700,72.704,72.796,72.501,2.30K,-0.03%
482,"May 26, 2021",72.720,72.805,72.805,72.627,1.01K,-0.10%
483,"May 25, 2021",72.790,72.867,72.885,72.745,2.19K,-0.05%
484,"May 24, 2021",72.830,72.885,72.981,72.822,2.24K,0.02%
485,"May 21, 2021",72.817,73.022,73.090,72.756,2.15K,-0.26%
486,"May 20, 2021",73.010,73.180,73.238,73.015,2.23K,-0.27%
487,"May 19, 2021",73.210,73.139,73.257,72.931,2.15K,0.22%
488,"May 18, 2021",73.050,73.219,73.271,72.956,2.11K,-0.38%
489,"May 17, 2021",73.330,73.305,73.335,73.149,2.01K,0.05%
490,"May 14, 2021",73.290,73.465,73.492,73.188,2.18K,-0.24%
491,"May 13, 2021",73.470,73.629,73.654,73.475,0.95K,-0.08%
492,"May 12, 2021",73.530,73.380,73.544,73.368,2.14K,0.22%
493,"May 11, 2021",73.370,73.500,73.546,73.281,4.42K,-0.11%
494,"May 10, 2021",73.450,73.302,73.490,73.273,4.71K,0.27%
495,"May 07, 2021",73.252,73.619,73.757,73.251,4.05K,-0.47%
496,"May 06, 2021",73.600,73.812,74.011,73.595,4.09K,-0.27%
497,"May 05, 2021",73.800,73.788,74.048,73.752,4.07K,0.05%
498,"May 04, 2021",73.760,73.868,73.978,73.765,4.50K,-0.07%
499,"May 03, 2021",73.810,74.279,74.332,73.820,3.98K,-0.32%
500,"Apr 30, 2021",74.050,74.155,74.222,73.945,4.84K,-0.05%
501,"Apr 29, 2021",74.090,74.220,74.293,73.953,5.13K,-0.54%
502,"Apr 28, 2021",74.489,74.625,74.630,74.287,4.63K,-0.12%
503,"Apr 27, 2021",74.580,74.790,74.839,74.505,4.75K,-0.20%
504,"Apr 26, 2021",74.730,74.750,74.917,74.669,4.55K,-0.25%
505,"Apr 23, 2021",74.920,75.123,75.126,74.755,2.33K,-0.25%
506,"Apr 22, 2021",75.110,75.427,75.435,74.845,2.23K,-0.41%
507,"Apr 21, 2021",75.421,75.356,75.570,75.300,1.01K,0.05%
508,"Apr 20, 2021",75.380,74.687,75.461,74.507,2.25K,0.71%
509,"Apr 19, 2021",74.850,74.575,75.055,74.567,2.28K,0.43%
510,"Apr 16, 2021",74.530,74.707,74.854,74.287,2.17K,-0.25%
511,"Apr 15, 2021",74.720,75.054,75.350,74.730,2.23K,-0.44%
512,"Apr 14, 2021",75.050,75.177,75.251,75.054,0.95K,-0.28%
513,"Apr 13, 2021",75.260,75.029,75.546,74.965,0.97K,0.37%
514,"Apr 12, 2021",74.980,74.985,75.200,74.733,2.30K,0.35%
515,"Apr 09, 2021",74.722,74.582,74.980,74.530,2.39K,0.20%
516,"Apr 08, 2021",74.572,74.460,74.923,74.184,1.80K,0.30%
517,"Apr 07, 2021",74.352,73.440,74.588,73.432,2.47K,1.18%
518,"Apr 06, 2021",73.486,73.260,73.502,73.207,2.11K,0.26%
519,"Apr 05, 2021",73.294,73.340,73.463,73.276,1.61K,-0.10%
520,"Apr 02, 2021",73.370,73.300,73.400,73.255,2.45K,0.06%
521,"Apr 01, 2021",73.323,73.169,73.453,73.155,0.95K,0.25%
522,"Mar 31, 2021",73.137,73.418,73.618,73.050,2.04K,-0.41%
523,"Mar 30, 2021",73.440,72.742,73.631,72.727,2.24K,0.95%
524,"Mar 29, 2021",72.748,72.526,72.768,72.481,0.75K,0.19%
525,"Mar 26, 2021",72.610,72.635,72.663,72.363,2.52K,-0.07%
526,"Mar 25, 2021",72.660,72.605,72.725,72.558,3.62K,0.10%
527,"Mar 24, 2021",72.590,72.570,72.726,72.503,4.30K,0.06%
528,"Mar 23, 2021",72.550,72.395,72.555,72.268,4.09K,0.25%
529,"Mar 22, 2021",72.370,72.469,72.528,72.305,2.03K,-0.04%
530,"Mar 19, 2021",72.401,72.673,72.732,72.413,2.43K,-0.40%
531,"Mar 18, 2021",72.690,72.362,72.724,72.320,2.60K,0.18%
532,"Mar 17, 2021",72.557,72.537,72.636,72.501,2.18K,0.06%
533,"Mar 16, 2021",72.510,72.525,72.643,72.365,2.29K,-0.03%
534,"Mar 15, 2021",72.530,72.685,72.786,72.381,2.27K,-0.21%
535,"Mar 12, 2021",72.680,72.683,72.871,72.625,2.19K,-0.01%
536,"Mar 11, 2021",72.690,72.749,72.801,72.583,1.72K,-0.04%
537,"Mar 10, 2021",72.720,72.803,73.107,72.729,4.26K,-0.06%
538,"Mar 09, 2021",72.766,73.321,73.386,72.776,4.62K,-0.80%
539,"Mar 08, 2021",73.350,73.210,73.417,72.927,4.94K,0.23%
540,"Mar 05, 2021",73.180,73.063,73.217,72.740,2.20K,0.61%
541,"Mar 04, 2021",72.733,72.882,73.109,72.598,2.15K,-0.27%
542,"Mar 03, 2021",72.930,73.260,73.292,72.688,2.18K,-0.44%
543,"Mar 02, 2021",73.250,73.380,73.532,73.260,2.18K,-0.20%
544,"Mar 01, 2021",73.396,73.585,73.783,73.167,2.07K,-0.71%
545,"Feb 26, 2021",73.920,72.975,74.060,72.946,1.91K,1.63%
546,"Feb 25, 2021",72.736,72.412,72.776,72.282,2.06K,0.49%
547,"Feb 24, 2021",72.380,72.382,72.470,72.263,2.15K,0.00%
548,"Feb 23, 2021",72.380,72.465,72.564,72.308,2.08K,-0.08%
549,"Feb 22, 2021",72.440,72.575,72.601,72.285,1.98K,-0.15%
550,"Feb 19, 2021",72.550,72.585,72.732,72.418,2.40K,-0.04%
551,"Feb 18, 2021",72.580,72.837,72.837,72.537,3.17K,-0.32%
552,"Feb 17, 2021",72.815,72.915,72.970,72.725,3.81K,-0.06%
553,"Feb 16, 2021",72.860,72.620,72.917,72.601,3.19K,0.33%
554,"Feb 15, 2021",72.618,72.613,72.700,72.513,3.26K,0.05%
555,"Feb 12, 2021",72.580,72.706,72.830,72.560,1.89K,-0.17%
556,"Feb 11, 2021",72.700,72.815,72.895,72.665,2.06K,-0.12%
557,"Feb 10, 2021",72.790,72.865,72.903,72.775,2.70K,-0.09%
558,"Feb 09, 2021",72.854,72.930,72.962,72.826,2.95K,-0.10%
559,"Feb 08, 2021",72.930,72.829,73.009,72.776,2.71K,0.16%
560,"Feb 05, 2021",72.810,72.986,73.043,72.775,4.87K,-0.19%
561,"Feb 04, 2021",72.950,72.823,73.003,72.823,5.86K,0.19%
562,"Feb 03, 2021",72.810,72.950,73.018,72.810,6.35K,-0.12%
563,"Feb 02, 2021",72.899,73.030,73.104,72.897,7.00K,-0.29%
564,"Feb 01, 2021",73.110,72.918,73.195,72.809,7.55K,0.32%
565,"Jan 29, 2021",72.877,72.930,73.037,72.814,5.74K,-0.07%
566,"Jan 28, 2021",72.931,73.022,73.186,72.893,15.94K,-0.18%
567,"Jan 27, 2021",73.060,72.920,73.101,72.785,12.52K,0.21%
568,"Jan 26, 2021",72.910,72.958,73.144,72.854,5.36K,-0.07%
569,"Jan 25, 2021",72.960,72.977,73.026,72.878,6.14K,-0.03%
570,"Jan 22, 2021",72.980,72.965,73.111,72.920,6.16K,0.03%
571,"Jan 21, 2021",72.960,72.916,73.061,72.894,6.07K,0.07%
572,"Jan 20, 2021",72.910,73.192,73.205,72.896,6.61K,-0.38%
573,"Jan 19, 2021",73.190,73.177,73.311,73.113,5.87K,0.01%
574,"Jan 18, 2021",73.181,73.150,73.333,73.136,6.11K,0.08%
575,"Jan 15, 2021",73.120,73.089,73.211,72.990,5.80K,0.07%
576,"Jan 14, 2021",73.070,73.135,73.239,72.923,7.09K,-0.12%
577,"Jan 13, 2021",73.160,73.190,73.238,73.061,6.96K,-0.08%
578,"Jan 12, 2021",73.220,73.494,73.494,73.200,6.41K,-0.32%
579,"Jan 11, 2021",73.455,73.450,73.600,73.357,11.06K,0.17%
580,"Jan 08, 2021",73.330,73.455,73.509,73.201,6.82K,-0.12%
581,"Jan 07, 2021",73.420,73.161,73.482,73.063,6.24K,0.41%
582,"Jan 06, 2021",73.118,73.168,73.229,73.046,6.05K,-0.00%
583,"Jan 05, 2021",73.120,73.080,73.290,72.980,6.88K,0.07%
584,"Jan 04, 2021",73.070,73.106,73.134,72.830,6.06K,-0.07%
585,"Jan 01, 2021",73.120,73.100,73.128,73.022,0.48K,0.11%
586,"Dec 31, 2020",73.036,73.195,73.243,72.951,4.13K,-0.12%
587,"Dec 30, 2020",73.127,73.370,73.398,73.135,4.04K,-0.36%
588,"Dec 29, 2020",73.390,73.545,73.545,73.313,1.90K,-0.21%
589,"Dec 28, 2020",73.546,73.558,73.613,73.457,0.63K,-0.02%
590,"Dec 25, 2020",73.558,73.558,73.558,73.558,0,0.02%
591,"Dec 24, 2020",73.540,73.800,73.840,73.506,1.00K,-0.31%
592,"Dec 23, 2020",73.770,73.905,73.905,73.654,1.26K,-0.11%
593,"Dec 22, 2020",73.851,73.940,73.950,73.802,1.29K,-0.24%
594,"Dec 21, 2020",74.026,73.575,74.104,73.575,1.08K,0.62%
595,"Dec 18, 2020",73.570,73.530,73.588,73.475,2.16K,0.07%
596,"Dec 17, 2020",73.520,73.600,73.635,73.372,2.82K,-0.15%
597,"Dec 16, 2020",73.630,73.532,73.660,73.459,2.61K,0.10%
598,"Dec 15, 2020",73.556,73.674,73.685,73.542,2.32K,-0.10%
599,"Dec 14, 2020",73.630,73.738,73.738,73.450,2.48K,-0.14%
600,"Dec 11, 2020",73.736,73.730,73.817,73.535,2.50K,-0.01%
601,"Dec 10, 2020",73.740,73.730,73.782,73.625,2.50K,0.03%
602,"Dec 09, 2020",73.720,73.712,73.730,73.515,2.75K,0.00%
603,"Dec 08, 2020",73.720,73.810,73.846,73.511,4.61K,-0.05%
604,"Dec 07, 2020",73.760,73.805,73.977,73.690,4.61K,0.00%
605,"Dec 04, 2020",73.757,73.865,73.865,73.647,4.18K,-0.14%
606,"Dec 03, 2020",73.860,73.695,73.988,73.670,5.89K,0.14%
607,"Dec 02, 2020",73.760,73.500,73.836,73.402,5.98K,0.38%
608,"Dec 01, 2020",73.482,74.025,74.025,73.445,6.80K,-0.69%
609,"Nov 30, 2020",73.990,73.935,74.025,73.873,3.73K,0.08%
610,"Nov 27, 2020",73.933,73.837,74.116,73.742,5.44K,0.14%
611,"Nov 26, 2020",73.832,73.792,73.913,73.720,5.35K,0.09%
612,"Nov 25, 2020",73.769,73.970,74.017,73.743,5.27K,-0.42%
613,"Nov 24, 2020",74.078,74.244,74.244,73.869,5.55K,-0.23%
614,"Nov 23, 2020",74.250,74.120,74.277,74.005,4.88K,0.19%
615,"Nov 20, 2020",74.110,74.165,74.211,74.056,4.56K,0.01%
616,"Nov 19, 2020",74.100,74.313,74.349,74.103,5.37K,-0.01%
617,"Nov 18, 2020",74.110,74.475,74.530,74.058,6.42K,-0.48%
618,"Nov 17, 2020",74.470,74.345,74.635,74.345,5.77K,0.13%
619,"Nov 16, 2020",74.370,74.590,74.590,74.380,1.92K,-0.26%
620,"Nov 13, 2020",74.561,74.662,74.725,74.464,5.53K,-0.16%
621,"Nov 12, 2020",74.680,74.438,74.760,74.365,6.09K,0.32%
622,"Nov 11, 2020",74.439,74.170,74.522,74.170,6.19K,0.21%
623,"Nov 10, 2020",74.280,73.955,74.478,73.948,6.83K,0.34%
624,"Nov 09, 2020",74.030,73.976,74.175,73.637,6.50K,0.08%
625,"Nov 06, 2020",73.974,74.030,74.286,73.860,7.50K,0.09%
626,"Nov 05, 2020",73.910,74.317,74.410,73.914,6.77K,-0.61%
627,"Nov 04, 2020",74.365,74.598,75.015,74.337,7.36K,-0.33%
628,"Nov 03, 2020",74.610,74.422,74.635,74.247,4.57K,0.15%
629,"Nov 02, 2020",74.500,74.567,74.567,74.265,4.32K,-0.07%
630,"Oct 30, 2020",74.554,74.320,74.712,74.240,2.94K,0.25%
631,"Oct 29, 2020",74.370,74.230,74.533,73.938,6.74K,0.26%
632,"Oct 28, 2020",74.180,73.729,74.271,73.647,5.79K,0.76%
633,"Oct 27, 2020",73.622,73.938,74.021,73.599,4.55K,-0.46%
634,"Oct 26, 2020",73.960,73.842,74.115,73.692,4.16K,0.18%
635,"Oct 23, 2020",73.829,73.645,73.887,73.471,2.87K,0.23%
636,"Oct 22, 2020",73.660,73.680,73.808,73.519,4.65K,0.10%
637,"Oct 21, 2020",73.590,73.440,73.763,73.357,4.32K,0.20%
638,"Oct 20, 2020",73.440,73.342,73.558,73.295,4.58K,0.12%
639,"Oct 19, 2020",73.350,73.444,73.444,73.289,3.20K,-0.13%
640,"Oct 16, 2020",73.442,73.407,73.451,73.255,4.91K,0.03%
641,"Oct 15, 2020",73.420,73.295,73.520,73.204,5.15K,0.25%
642,"Oct 14, 2020",73.240,73.395,73.466,73.193,5.37K,-0.22%
643,"Oct 13, 2020",73.400,73.351,73.475,73.245,4.09K,0.05%
644,"Oct 12, 2020",73.363,73.015,73.428,73.015,3.96K,0.48%
645,"Oct 09, 2020",73.010,73.150,73.265,72.969,4.22K,-0.38%
646,"Oct 08, 2020",73.290,73.330,73.381,73.185,5.08K,-0.05%
647,"Oct 07, 2020",73.330,73.550,73.613,73.254,4.81K,-0.14%
648,"Oct 06, 2020",73.434,73.093,73.518,73.093,3.37K,0.44%
649,"Oct 05, 2020",73.110,73.295,73.481,73.070,3.39K,-0.25%
650,"Oct 02, 2020",73.290,73.239,73.450,73.239,0.17K,0.13%
651,"Oct 01, 2020",73.193,73.595,73.610,73.021,3.98K,-0.50%
652,"Sep 30, 2020",73.560,73.817,73.865,73.522,3.86K,-0.26%
653,"Sep 29, 2020",73.750,73.785,73.918,73.716,3.48K,0.00%
654,"Sep 28, 2020",73.750,73.685,73.862,73.526,5.66K,0.11%
655,"Sep 25, 2020",73.670,73.735,73.788,73.566,2.96K,-0.31%
656,"Sep 24, 2020",73.900,73.835,74.055,73.765,3.90K,0.45%
657,"Sep 23, 2020",73.570,73.503,73.635,73.430,1.88K,0.08%
658,"Sep 22, 2020",73.510,73.575,73.645,73.385,3.36K,-0.08%
